wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,parameters_id,batch_size
7,6,5.046446084976196,93,87,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
4,1,29.46624755859375,163,151,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,9,0.4062147140502929,32,31,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
1,0,31.262967109680176,163,133,Expert (16x30),18x32,True,"(3, 3)",True,3,10
9,8,5.452662229537964,86,84,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
9,8,0.4218394756317138,37,35,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
1,0,31.794172763824463,209,187,Expert (16x30),18x32,True,"(3, 3)",True,3,10
2,0,45.32427072525024,164,136,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,10,0.4374654293060303,32,32,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
3,1,36.559396743774414,167,143,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,9,5.687013149261475,96,94,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,10,0.5624544620513916,36,36,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
9,8,5.390164852142334,93,89,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
2,1,31.341087818145752,198,185,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,8,0.5312020778656006,39,38,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
8,7,5.24955153465271,89,86,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
5,1,41.3558611869812,225,203,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,10,0.4218382835388183,31,31,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
6,6,4.702727556228638,80,77,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
8,6,4.155900239944458,82,75,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
1,1,39.94973063468933,212,185,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,10,0.5468287467956543,31,31,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
9,9,3.687186717987061,76,75,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
9,8,0.5468285083770752,32,30,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
