wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,samples_solve_duration_total,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,naive_alg_steps,parameters_id,task_id
4,2,0.03571462631225586,27,21,0.009694099426269531,Beginner (8x8),10x10,True,,False,,66,1506
5,4,0.02931976318359375,17,16,0.005027055740356445,Beginner (9x9),11x11,True,,True,,67,1507
1,0,0.9349720478057861,59,40,0.3860042095184326,Expert (16x30),18x32,True,,False,5,48,1488
4,0,0.033524513244628906,24,16,0.0041027069091796875,Beginner (9x9),11x11,True,,False,,68,1508
2,0,0.760805606842041,76,63,0.27678871154785156,Expert (16x30),18x32,True,,True,6,55,1495
2,1,0.20199251174926758,37,24,0.020555734634399414,Intermediate (16x16),18x18,True,,False,,70,1510
3,3,0.26270556449890137,51,47,0.05613589286804199,Intermediate (16x16),18x18,True,,True,,69,1509
3,2,0.02089834213256836,18,14,0.002303600311279297,Beginner (8x8),10x10,True,,True,0,1,1513
1,0,0.9163331985473633,59,40,0.38024258613586426,Expert (16x30),18x32,True,,False,6,56,1496
2,0,0.021198272705078125,22,11,0.0018892288208007812,Beginner (8x8),10x10,True,,False,0,2,1514
3,2,0.031533241271972656,26,19,0.0035772323608398438,Beginner (9x9),11x11,True,,True,0,3,1515
4,0,0.02742910385131836,24,14,0.002164602279663086,Beginner (9x9),11x11,True,,False,0,4,1516
2,0,0.7110269069671631,76,63,0.2760148048400879,Expert (16x30),18x32,True,,True,7,63,1503
1,0,0.15667247772216797,39,24,0.011204719543457031,Intermediate (16x16),18x18,True,,False,0,6,1518
2,1,0.17617487907409668,41,30,0.01324915885925293,Intermediate (16x16),18x18,True,,True,0,5,1517
3,3,0.01984715461730957,16,13,0.003071308135986328,Beginner (8x8),10x10,True,,True,1,9,1521
2,0,0.026041269302368164,24,13,0.003147602081298828,Beginner (8x8),10x10,True,,False,1,10,1522
4,2,0.02948904037475586,24,20,0.004172325134277344,Beginner (9x9),11x11,True,,True,1,11,1523
5,0,0.03121328353881836,23,15,0.0025980472564697266,Beginner (9x9),11x11,True,,False,1,12,1524
1,0,0.921245813369751,59,40,0.3828451633453369,Expert (16x30),18x32,True,,False,7,64,1504
2,0,0.7503807544708252,76,63,0.25740575790405273,Expert (16x30),18x32,True,,True,,71,1511
0,0,0.3985772132873535,70,43,0.035314083099365234,Expert (16x30),18x32,True,,True,0,7,1519
3,1,0.14796924591064453,35,27,0.015032291412353516,Intermediate (16x16),18x18,True,,False,1,14,1526
5,3,0.22150874137878418,47,46,0.03059840202331543,Intermediate (16x16),18x18,True,,True,1,13,1525
3,3,0.020407676696777344,16,13,0.0035762786865234375,Beginner (8x8),10x10,True,,True,2,17,1529
0,0,0.363985538482666,31,8,0.03662705421447754,Expert (16x30),18x32,True,,False,0,8,1520
2,0,0.026615381240844727,24,13,0.003618001937866211,Beginner (8x8),10x10,True,,False,2,18,1530
4,2,0.030239582061767578,24,20,0.004532814025878906,Beginner (9x9),11x11,True,,True,2,19,1531
5,0,0.03244924545288086,23,15,0.0027806758880615234,Beginner (9x9),11x11,True,,False,2,20,1532
3,1,0.1522846221923828,35,27,0.018788576126098633,Intermediate (16x16),18x18,True,,False,2,22,1534
1,0,0.2127845287322998,34,26,0.02789759635925293,Expert (16x30),18x32,True,,False,1,16,1528
3,3,0.011846303939819336,16,13,0.0021677017211914062,Beginner (8x8),10x10,True,,True,3,25,1537
2,0,0.014943361282348633,24,13,0.0021910667419433594,Beginner (8x8),10x10,True,,False,3,26,1538
